Bird Name,Audio File Name,Path,Bird Index
AMERICAN AVOCET,XC133080.wav,AMERICAN AVOCET\XC133080.wav,0
AMERICAN AVOCET,XC139829.wav,AMERICAN AVOCET\XC139829.wav,0
AMERICAN AVOCET,XC139921.wav,AMERICAN AVOCET\XC139921.wav,0
AMERICAN AVOCET,XC155039.wav,AMERICAN AVOCET\XC155039.wav,0
AMERICAN AVOCET,XC166076.wav,AMERICAN AVOCET\XC166076.wav,0
AMERICAN AVOCET,XC178760.wav,AMERICAN AVOCET\XC178760.wav,0
AMERICAN AVOCET,XC178761.wav,AMERICAN AVOCET\XC178761.wav,0
AMERICAN AVOCET,XC179043.wav,AMERICAN AVOCET\XC179043.wav,0
AMERICAN AVOCET,XC179466.wav,AMERICAN AVOCET\XC179466.wav,0
AMERICAN AVOCET,XC185513.wav,AMERICAN AVOCET\XC185513.wav,0
AMERICAN AVOCET,XC234550.wav,AMERICAN AVOCET\XC234550.wav,0
AMERICAN AVOCET,XC292919.wav,AMERICAN AVOCET\XC292919.wav,0
AMERICAN AVOCET,XC304441.wav,AMERICAN AVOCET\XC304441.wav,0
AMERICAN AVOCET,XC304446.wav,AMERICAN AVOCET\XC304446.wav,0
AMERICAN AVOCET,XC304534.wav,AMERICAN AVOCET\XC304534.wav,0
AMERICAN AVOCET,XC304643.wav,AMERICAN AVOCET\XC304643.wav,0
AMERICAN AVOCET,XC304644.wav,AMERICAN AVOCET\XC304644.wav,0
AMERICAN AVOCET,XC304674.wav,AMERICAN AVOCET\XC304674.wav,0
AMERICAN AVOCET,XC304676.wav,AMERICAN AVOCET\XC304676.wav,0
AMERICAN AVOCET,XC304677.wav,AMERICAN AVOCET\XC304677.wav,0
AMERICAN AVOCET,XC304679.wav,AMERICAN AVOCET\XC304679.wav,0
AMERICAN AVOCET,XC304680.wav,AMERICAN AVOCET\XC304680.wav,0
AMERICAN AVOCET,XC304681.wav,AMERICAN AVOCET\XC304681.wav,0
AMERICAN AVOCET,XC317972.wav,AMERICAN AVOCET\XC317972.wav,0
AMERICAN AVOCET,XC318019.wav,AMERICAN AVOCET\XC318019.wav,0
AMERICAN AVOCET,XC324488.wav,AMERICAN AVOCET\XC324488.wav,0
AMERICAN AVOCET,XC324505.wav,AMERICAN AVOCET\XC324505.wav,0
AMERICAN AVOCET,XC324509.wav,AMERICAN AVOCET\XC324509.wav,0
AMERICAN AVOCET,XC324558.wav,AMERICAN AVOCET\XC324558.wav,0
AMERICAN AVOCET,XC324577.wav,AMERICAN AVOCET\XC324577.wav,0
AMERICAN AVOCET,XC383881.wav,AMERICAN AVOCET\XC383881.wav,0
AMERICAN AVOCET,XC421940.wav,AMERICAN AVOCET\XC421940.wav,0
AMERICAN AVOCET,XC452798.wav,AMERICAN AVOCET\XC452798.wav,0
AMERICAN AVOCET,XC480759.wav,AMERICAN AVOCET\XC480759.wav,0
AMERICAN AVOCET,XC480761.wav,AMERICAN AVOCET\XC480761.wav,0
AMERICAN AVOCET,XC481858.wav,AMERICAN AVOCET\XC481858.wav,0
AMERICAN AVOCET,XC494032.wav,AMERICAN AVOCET\XC494032.wav,0
AMERICAN AVOCET,XC99571.wav,AMERICAN AVOCET\XC99571.wav,0
AMERICAN BITTERN,XC127371.wav,AMERICAN BITTERN\XC127371.wav,1
AMERICAN BITTERN,XC130058.wav,AMERICAN BITTERN\XC130058.wav,1
AMERICAN BITTERN,XC133167.wav,AMERICAN BITTERN\XC133167.wav,1
AMERICAN BITTERN,XC141316.wav,AMERICAN BITTERN\XC141316.wav,1
AMERICAN BITTERN,XC141320.wav,AMERICAN BITTERN\XC141320.wav,1
AMERICAN BITTERN,XC149911.wav,AMERICAN BITTERN\XC149911.wav,1
AMERICAN BITTERN,XC172859.wav,AMERICAN BITTERN\XC172859.wav,1
AMERICAN BITTERN,XC172860.wav,AMERICAN BITTERN\XC172860.wav,1
AMERICAN BITTERN,XC184876.wav,AMERICAN BITTERN\XC184876.wav,1
AMERICAN BITTERN,XC184879.wav,AMERICAN BITTERN\XC184879.wav,1
